name,rating,appearances,likeability
George Lucas,121.06972347291317,6,122.30803485566263
Alan J. Pakula,91.98723444627541,11,121.70956649124278
Roger Corman,66.82768826018177,28,121.5028888674519
Mel Brooks,95.6608902898534,9,121.28508366643706
Brad Bird,109.13146401704174,6,121.27323937271184
Joe Dante,89.80009462494183,12,120.99844314947785
Lana Wachowski,125.779070663989,6,120.94969662352003
John Madden,87.46774944894395,10,120.61592807178984
Sylvester Stallone,89.32010956873354,8,120.5562358465422
Mark Waters,91.08826926024426,12,120.38877349485698
David Ayer,98.04879849910168,8,120.20415711282023
Terrence Malick,92.21461484048457,9,120.10782230370552
Peter Hyams,72.88291618997954,18,119.4480739809441
Jon Turteltaub,87.63530532282734,10,119.38438021050341
Noah Baumbach,99.55175060050021,9,118.94431536396586
John G. Avildsen,89.80009462494183,14,118.8218564290714
Simon West,86.92699165981276,11,118.71827551625506
Jim Abrahams,95.22852410707247,8,118.5725122115683
Nicholas Ray,86.69749361477425,13,118.3244319892074
Matt Reeves,103.9916920338105,6,118.31064136308694
Ken Loach,85.81637876139305,10,118.21233763555672
Alejandro G. Iñárritu,108.56710379978352,6,117.89827959092057
Samuel Fuller,73.08012164864104,17,117.74321643065632
Nicolas Winding Refn,104.05742389942627,9,117.73178628783273
Peter Segal,86.80668134756606,10,117.50640713750437
George A. Romero,91.6034900502822,12,117.4818501102791
J.J. Abrams,107.05956963340304,6,117.41657760705007
Ram Gopal Varma,79.81118548470009,16,117.3926989435403
Andrew V. McLaglen,68.27221890859886,20,117.34280860608301
Wes Craven,76.23448641819579,14,117.2778390306173
Don Bluth,84.24968149160655,10,116.9888183973817
Jaume Collet-Serra,86.11137424700333,9,116.68416778785162
Bruce Beresford,84.67345307684235,14,116.55408129144867
Francis Lawrence,100.43146972829503,7,116.18859269130596
Adam McKay,100.97588435145335,7,116.14840283962671
Herbert Ross,79.68014578876662,14,115.93183270495135
Orson Welles,107.77879943534873,7,115.92913158741148
Martin Ritt,77.99062231225552,14,115.87652394306225
Paul W.S. Anderson,82.46702598672375,11,115.86325191290301
Bobby Farrelly,89.72877093988555,10,115.6752809712364
Guy Hamilton,93.51031876195307,10,115.66623002783723
Frank Darabont,137.37050462782292,4,115.63639635040056
Robert Mulligan,105.02785529703502,11,115.54156379089525
Mike Leigh,85.35164315740559,10,115.47874858511555
Peter Yates,82.341746082771,14,114.98393448341187
Taika Waititi,106.40340896454181,6,114.75156913900292
Carol Reed,97.55278509986243,10,114.62123455889773
Priyadarshan,89.88902117016934,12,114.56053573008542
Michael Powell,84.75113705781955,10,114.18491028881833
Frank Oz,82.66122015457356,10,114.17104210190381
Hal Ashby,89.47537118398554,9,113.97983889925159
Abel Ferrara,74.6826877627299,20,113.93206298078466
Mel Gibson,116.0502886868999,5,113.81838864113685
Richard Lester,81.42957504251866,14,113.49264201614848
Tom McCarthy,105.63334190802816,7,113.42109593946893
Cameron Crowe,98.88609388592008,7,113.40430238682865
S.S. Rajamouli,93.89861050226756,10,113.2117746727822
Andrew Niccol,98.36999447837903,7,112.62989850436948
Alexander Payne,91.16084513356968,7,112.59088282992644
Gordon Douglas,71.99134367285126,28,112.3977489256359
Fred Zinnemann,92.33987413769418,8,112.37650692339545
Michael Caton-Jones,79.40974450550009,11,112.36938847849004
Stephen Daldry,94.24620708965242,7,112.28631136653622
Bill Condon,76.67698659735862,10,112.15352811028872
Arthur Penn,89.52215695713468,10,112.11677278491058
Rob Cohen,87.36590041557747,11,111.96898864855739
Henry King,74.04170219664948,16,111.88838134351406
John Woo,93.63453867276357,9,111.86298626182698
Roger Spottiswoode,79.10789554126565,12,111.77229409685235
John Boorman,89.17049767351914,10,111.77080538737113
Lewis Gilbert,81.1292055427445,11,111.62904624905967
Stephen Herek,81.24949913312027,11,111.54488240074494
Arthur Hiller,74.09782741371559,15,111.25469227289264
Joe Carnahan,84.54581588317465,8,111.24067949294225
D.J. Caruso,84.0689194815109,9,111.17737114629315
Tom Shadyac,87.13366268356789,8,110.98505227888327
Michael Winterbottom,76.78631429887243,15,110.96472425782382
Mani Ratnam,85.16999295181068,10,110.90502942025017
Victor Fleming,104.32003866205805,6,110.77349948606278
John Lasseter,114.41592620898041,5,110.45686913775154
Robert Redford,83.61429228123944,9,110.45676909836223
Michael Ritchie,74.9270930831886,14,110.24723905229833
Yash Chopra,84.7001921809958,9,110.24346618139558
Jonathan Lynn,89.00950006023699,9,110.1048218369847
Tobe Hooper,88.58059230886738,11,110.01263820495704
Stephen Sommers,91.96460021042884,8,109.89500700338208
John Schlesinger,90.54423802924151,10,109.57811263126696
Tom Hooper,107.35600486901492,5,109.34753822641935
Gavin Hood,85.26930981404414,7,109.26741462202071
Jon Watts,111.23252568632074,5,109.11197175833826
S. Shankar,81.32445440608991,9,108.9904323723786
John Badham,81.67041341672876,11,108.85016375548038
David Mackenzie,93.7285602531229,8,108.50572762994925
David Gordon Green,87.80157842872286,10,108.474971289839
Neil Burger,97.99679052555345,6,108.33469978502606
Michael Anderson,74.34512739407755,18,108.2420585099793
Kevin Reynolds,91.07356877703903,8,107.89727004450873
Philip Kaufman,85.9453073166125,9,107.85060498867934
Lawrence Kasdan,77.42696471948948,10,107.80740419263952
Sofia Coppola,100.17941682668693,7,107.21351964116371
Jonathan Levine,96.52584354398373,7,107.14446062184744
Boaz Yakin,95.69857006859418,8,107.09137377152601
George Clooney,87.40407189206636,8,107.03660873733934
Penny Marshall,92.36938785448005,7,106.97311380694453
Martin Brest,100.62108961570125,5,106.91167168124434
James Foley,88.95152557155103,11,106.67955946624122
Ken Annakin,84.18492366682311,14,106.64959924990842
Edward Dmytryk,78.56765951639579,14,106.644749149556
John Sayles,76.28624968876777,11,106.35967499167532
Adam Shankman,89.46049851080713,9,106.27862061536976
Bob Clark,93.9956841395109,10,106.16080741004069
Lee Tamahori,82.42951484842656,8,106.13936376939141
John Glen,77.13660061530054,8,105.93775618220685
Howard Deutch,75.72476970548566,10,105.83041789863235
Vivek Agnihotri,109.70669052483184,7,105.82799658706247
Paul Feig,86.8057170562588,7,105.81886896022188
Roger Michell,90.92208280024475,9,105.74365855918843
Paul Weitz,90.31201694402094,9,105.72169298164522
Donald Petrie,79.12368892377498,10,105.69022023644823
Brad Anderson,99.00966330308795,7,105.34566028310878
John Singleton,92.36938785448005,8,105.24393851193604
Bong Joon Ho,115.02047430764726,5,105.1972301027368
James Gray,80.21960233648645,8,104.92861392059933
Frank Coraci,82.19074093600042,8,104.8876840425954
