name,rating,appearances,likeability
David Auburn,80.99957077750766,3,57.24577220668728
Nick Castle,85.69632243948593,3,57.2350061362925
Hal Barwood,65.26448977435697,4,57.227090675683755
James Patterson,73.90821715286148,3,57.184957666525726
Robert Thom,63.48775069277551,5,57.0280229545408
George Seaton,84.98743275746835,3,57.00921827764444
Mike Binder,84.8935656813298,3,56.973753570563964
Chuck Pfarrer,67.20540165258008,4,56.96957408107333
Roland Kibbee,64.47238260383328,4,56.943818610091824
Marc Behm,70.3147616230065,4,56.93711393044932
Gary Young,81.89037646298439,3,56.9248019947519
Daniel Clowes,85.37530325887853,3,56.87654838620691
John Wayne,67.25620291875008,4,56.87506541264123
Keith Merryman,83.21402773610542,3,56.79227150248839
Greg Latter,67.34371535724566,5,56.776731965343245
Anthony Shaffer,84.67336435242014,3,56.766027328564505
Geoffrey Fletcher,84.74012020685423,3,56.72695914389124
J.C. Chandor,83.54973055174105,3,56.70316148683216
T.S. Nowlin,78.17678498401924,3,56.6889055536108
Philip Roth,64.11880339749716,4,56.634892658672705
Mickey Spillane,74.27615664402096,4,56.61474575689149
Jim Thompson,70.65572254518565,4,56.578418188597105
Sally Potter,64.03926267796575,4,56.57623159053344
Roman Polanski,82.67315866326037,3,56.56680792851366
Josh Klausner,76.96094475121505,3,56.526088847888516
Howard Franklin,66.42939016626524,4,56.4698337970335
Wayne Kramer,84.04435589428266,3,56.45343733372316
Vakkantham Vamsi,67.23548471542614,4,56.40896134852086
Mark Rosenthal,66.7999199355818,4,56.398807947100806
David Seltzer,66.79437360843124,4,56.39718706325918
Joseph Minion,84.56719867960264,3,56.370806726214234
Clifford Odets,82.98792945425491,3,56.33800023256515
Dilip Shukla,64.31564532704756,5,56.33551683556216
Ramin Bahrani,77.99557833250377,3,56.32170890246741
Danny Bilson,70.45727592609201,4,56.18384763812248
Stephan Elliott,81.14833713307712,3,56.18366968164836
Peter Landesman,81.3024554348902,3,56.16852244251898
Helen Fielding,83.03009982356771,3,56.15181179659306
Paolo Sorrentino,82.23058797140362,3,56.09587230659226
Peter Gaulke,85.16677936121121,3,56.060731028395544
S. Craig Zahler,81.67041341672876,3,56.003117893943674
Mike Mills,82.29271576342448,3,55.99662204059795
Nicolas Boukhrief,85.2972753454673,3,55.88416071301465
Ahmed Mourad,81.91967831325873,3,55.881551905528866
Andrew Bergman,63.38232033623122,4,55.86796401921238
Michelangelo Antonioni,82.63971857366587,3,55.81592400647616
Jamie Uys,79.81168087893619,3,55.812032984064366
Bill Norton,61.36810232514163,5,55.74270511349122
Conrad Vernon,76.69074620298217,3,55.73561711233363
Dito Montiel,70.14437753732497,4,55.67540729800004
Hany Abu-Assad,74.32004626234352,3,55.668551123733735
Guy Hibbert,82.9433487992202,3,55.5588456312757
Andrea Arnold,80.55469454739877,3,55.554989337066864
Roger Avary,80.162584427013,3,55.52854615293384
Nick Love,63.008963216742806,4,55.52087642734432
Tom Hanks,80.15735042876499,3,55.49693373548334
Jonathan Tropper,80.92420313593594,3,55.46465172501499
W. Bruce Cameron,80.52783406558699,3,55.35735384978728
Ian Shorr,64.1639064689208,4,55.318740370925774
Sudip Sharma,79.37893548696105,3,55.28928496140596
Stephen Gaghan,81.24949913312027,3,55.284153874461
Nicholas Meyer,67.28977161590562,4,55.27551448732029
Shauna Cross,78.46890136889314,3,55.27492694552411
Syam Pushkaran,81.14790717307787,3,55.19712145827261
Richard Rich,82.29271576342448,3,55.161284926559915
Antonio Campos,83.54973055174105,3,55.138158493584896
Paul Osborn,64.59377528415422,4,55.1285124253892
Lowell S. Hawley,68.73044240867561,4,55.1059669649593
Janet Green,66.98626356121848,4,55.08934809724504
Michael Almereyda,65.0244821037806,4,55.04020776269899
Sanjay Chhel,49.72176475738387,6,55.02297731731557
Lisa Cholodenko,82.42702810606404,3,55.018625408788914
Valentine Davies,66.30230110340398,4,55.011738242780346
Adi Hasak,74.68754696819131,3,54.959046958252586
Susanne Bier,80.56589572163094,3,54.94194809268394
Ira Sachs,63.46712106417261,4,54.92043565611385
Hal Hartley,62.01002427278805,4,54.89567154836167
Jim Abrahams,80.2824873740919,3,54.758414418508856
Wladyslaw Pasikowski,64.57712767915027,4,54.75428714374041
David Scarpa,77.8127016069992,3,54.748156002151646
Shridhar Raghavan,76.25685415452818,3,54.745002158388516
Gaspar Noé,81.19586254643394,3,54.72247769395376
Chris Sivertson,46.378413434173176,7,54.67041672342906
Uwe Boll,52.7689495680871,6,54.64677670940468
William Gibson,79.80277349100346,3,54.64522294472147
