name,rating,appearances,likeability
M. Rathnam,64.23986649289024,7,77.89453150741568
Lou Taylor Pucci,68.60773058735418,6,77.87384646625183
Ken Wheat,87.89818426384063,4,77.87297031240468
Ed Naha,76.40443648239726,7,77.82789451137934
Drew Pearce,94.81706674007164,4,77.81017459575335
Taylor Lautner,68.27197748202975,7,77.80780181100431
Chi McBride,96.3093584337605,4,77.80669057406229
Alan Mak,119.66193599067,3,77.7787024281063
Felix Chong,119.66193599067,3,77.7787024281063
Dana Delany,70.14437753732497,7,77.7727895133519
Taryn Manning,73.536287771624,11,77.76796653455563
David Gulpilil,76.96239638926257,6,77.7383676934678
Joseph Sargent,78.34804022089662,6,77.73643531358171
Jack Huston,67.34371535724566,7,77.73419228403837
Tony Giglio,69.8565661709735,7,77.72526815030264
Varun Dhawan,74.63498740904261,6,77.72481588655054
Leighton Meester,63.265813210142,7,77.72396584097287
Carl Franklin,66.68789969426797,6,77.71600642218105
Timo Tjahjanto,70.14437753732497,5,77.7034315034928
Barry W. Blaustein,86.83843333265587,5,77.69750115784251
Jack Dylan Grazer,88.29410491873026,4,77.67754326417027
Alice Braga,97.32315255947653,4,77.67371784413868
Richard Stanley,65.49201972037451,8,77.6636896097387
Audrey Totter,70.93169113461781,7,77.66276933995897
Jeffrey Jones,63.55134856663567,8,77.65788979484995
Mark Addy,83.6839666180172,4,77.65491113960911
Lionel Atwill,73.51045708619995,7,77.62791042536932
Christopher George,62.630314529438046,11,77.62516448052165
Alan Jay Lerner,75.12563378590775,6,77.60383588277627
Ke Huy Quan,98.11156037163056,3,77.58622537357175
Vincent Gardenia,79.69922808688096,6,77.55676727812427
Willard Huyck,84.33329820048564,6,77.54822254539582
Claude-Michel Schönberg,95.23286587409544,4,77.53980510442241
Robert Townsend,62.920198649297646,8,77.53696343587339
Cloris Leachman,65.99206503344699,7,77.51590035132125
Tom Vaughan,73.67725957152376,6,77.50816857868561
Jim Kelly,87.79631095373867,7,77.50104365670282
Kôji Suzuki,90.51361824812429,4,77.49644632454505
Evan Spiliotopoulos,71.7070823754083,7,77.4808596129255
Jeffrey Price,93.90937178451038,4,77.46080562548883
Joseph Losey,73.26276304440707,7,77.43926870342958
Tim Hunter,67.60707655446029,7,77.42391368719578
Harve Bennett,90.05340206758422,4,77.41270677226366
David Caruso,72.5788450222219,6,77.36906080065
Ranald MacDougall,72.82983988314032,6,77.36509188829062
Peter S. Seaman,93.90937178451038,4,77.36086989764001
Delia Ephron,82.13940986346996,5,77.33904821558097
Jürgen Vogel,88.15318402520573,5,77.334798806935
Oprah Winfrey,87.48818982931446,4,77.33291328507676
Emir Kusturica,88.8424061451813,4,77.31489333365445
Ali Abbas Zafar,75.15477672829863,5,77.30243672267706
Jennifer O'Neill,73.13109271023787,6,77.29204668458377
Jerusha Hess,84.75293243799749,5,77.29012328047187
Ann Sheridan,64.61724987687681,7,77.2769713623086
Anthony Hickox,57.783498282306404,10,77.27176442668598
Don McKellar,72.78839568084842,5,77.26994455544225
Joe Stillman,95.08872308227143,4,77.25861705186027
Gregory Nava,69.87034754098656,6,77.25816804981773
Jeff Garlin,116.85089419725624,3,77.24533056908308
Roald Dahl,78.81122824152322,5,77.24288179390024
David Mandel,80.8189361673108,4,77.24125868356448
Dick Maas,59.55847123897895,8,77.2225128081369
Briana Evigan,70.51671306534767,7,77.20418026480614
Douglas Day Stewart,76.531748788021,6,77.19405081944923
Shameik Moore,110.17730056266164,3,77.16249794169028
Julia Louis-Dreyfus,87.84243932839112,4,77.13849739506738
Phil Joanou,76.25114103707833,5,77.13107197243838
Janet McTeer,91.8266998224988,4,77.09006117199077
Jerry Reed,74.65647016243096,7,77.07759220772158
Don Ameche,74.04096303600359,6,77.07120695898335
Chad Hayes,73.01628498847005,6,77.06536873216038
Alan Ball,116.85089419725624,3,77.04669173407763
Irene Papas,87.13901333360678,5,77.03776994228912
Josh Wiggins,67.34370815691067,7,77.03103512290053
Victor Levin,70.3147616230065,6,77.02857777580437
Maisie Williams,65.36166199146135,7,77.01644440843152
Frederic Forrest,65.42171679254709,7,77.00490744375725
Dorothy Lamour,60.15907962786656,8,76.99401134393608
Rolf de Heer,69.69173204276099,6,76.96543369355953
Mary Kay Place,68.58688925814812,7,76.94345020400287
David Loughery,63.595842110351164,8,76.93009090360448
Riley Stearns,69.42324306473398,6,76.92439815622623
John J. Strauss,89.72877093988555,5,76.91509287310073
Greer Garson,74.4657654802751,5,76.90894069433223
Ruth Negga,80.21960233648645,5,76.90086169467544
Henry King,74.04170219664948,6,76.86934096216903
Hayley Atwell,81.01123704601791,5,76.85395602149372
Stephen Chbosky,104.99489104053602,3,76.83778060254427
Jeroen Krabbé,77.00124247627315,5,76.81478711847639
Hugh Wheeler,93.49586421772179,5,76.79418465698632
Tony Jaa,73.63071234138452,6,76.77908383436127
Lauren Holly,72.39219738427099,6,76.77769722124187
Govinda,55.2439362167867,17,76.74021972847508
Olivier Nakache,115.90926308256813,3,76.72008180305208
Éric Toledano,115.90926308256813,3,76.72008180305208
Malcolm D. Lee,63.89027040806466,7,76.71976990312703
Mary Woronov,67.63929905546875,8,76.71536874755002
Harry Kleiner,82.341746082771,5,76.70176787861392
W. Peter Iliff,87.08501581072483,4,76.69587759307565
Mark Pellington,81.80713854169665,5,76.6882399752255
Mark Neveldine,85.70616977351511,4,76.67057059399133
Martin Campbell,81.44600168386134,5,76.65931416477169
Kevin Dillon,69.42324306473398,8,76.6584005906572
Tommy Swerdlow,80.7973898704824,5,76.65632024372954
Lizabeth Scott,68.00701871847411,7,76.65184614064196
Anthony Michael Hall,81.56881185141772,5,76.6340390025154
Stephenie Meyer,69.06031486903157,6,76.60353742770963
Gerald Di Pego,72.17410004127463,6,76.57713546891408
Michael Almereyda,65.0244821037806,7,76.56704617632704
Judd Hirsch,83.61429228123944,5,76.56077959982552
Fred Willard,81.6581835138015,5,76.55674453522587
Bernard Rose,74.9370701684925,5,76.55230155179646
James Le Gros,76.78631429887243,6,76.54979908474913
Richard Roundtree,69.61950203221926,10,76.52928868998498
Ginger Rogers,75.86189578774405,6,76.52258562255692
Snoop Dogg,72.57894598114132,8,76.50874842947556
Nivin Pauly,82.19894668604987,5,76.47260241100055
Bille August,69.29842151488788,6,76.46794495909947
Dean Cain,61.74793169410826,13,76.43787471986955
Harry Essex,69.16087722357231,6,76.42396198104974
Patricia Rozema,70.60066376531057,6,76.40358768093202
Richard Rush,64.25916815144032,8,76.36117662111636
Adam Wingard,77.13660061530054,5,76.32274794430364
Debra Messing,91.07026111604132,4,76.32024350476749
Pablo Larraín,75.55726098070937,5,76.30765740548985
James Rebhorn,100.62108961570125,4,76.30455834404101
Kevin McCarthy,83.15673194361429,5,76.2719683517234
Mark Burton,88.93526948263268,4,76.23565212295152
Hart Bochner,62.05428195588307,7,76.22704740050816
Anthony Anderson,77.53568962351105,6,76.21625089479794
Sion Sono,64.37266909148482,7,76.21112831718645
Anurag Basu,80.34200863084955,5,76.2110768956237
Ronald Neame,69.28182566303755,6,76.1917215940072
Olivia DeJonge,73.00679632251386,5,76.15451636741801
Richard Carlson,71.13177335844563,7,76.14972184782371
Ivan Raimi,89.37897062775015,4,76.14643102113213
Riteish Deshmukh,71.6345456090422,8,76.14087140223374
Leelee Sobieski,73.536287771624,7,76.1147366431451
Henry James,78.41078640989754,5,76.10146055523853
Aldis Hodge,73.65178739065124,5,76.0942865101901
Lorenzo Semple Jr.,80.7716546351881,5,76.08889136027202
Stephen Kendrick,67.6754884735978,6,76.06102098825768
Elke Sommer,75.77570243976433,7,76.04852643588508
Robert Culp,59.02608079603968,10,76.04237807383915
Robert Bolt,88.7840600922209,4,76.03607074623983
Eddie Griffin,63.98388733735515,8,76.01660455632674
Michael Rapaport,69.09948030992084,6,75.99598823880976
Troy Kennedy-Martin,82.076774385905,4,75.97367418564119
Ramana,86.07636438272787,5,75.97081688825115
Adrienne Shelly,75.30532016484537,5,75.96220239473966
Kaitlyn Dever,82.73408059215225,5,75.9577804072063
Mahesh Narayanan,76.08056162303811,5,75.93527968686129
Paul Rudnick,77.720898221012,5,75.92484823098856
Alex Lehmann,70.13497408587615,5,75.9231645305189
Louis Calhern,79.58801873089443,5,75.91766835216046
Bruno Corbucci,73.72771048193286,7,75.90562358220765
Gerrit Graham,64.42589671656513,7,75.89737615564269
Jamie Babbit,69.50239091793848,6,75.87934006350487
Natasha Lyonne,69.50239091793848,8,75.87437767509694
Brad Silberling,83.23522369128304,5,75.8617437341571
Tom McGrath,90.8778374162261,4,75.85556875901972
Jim Strouse,62.630314529438046,7,75.8343292358021
Lee Daniels,84.74012020685423,5,75.8168250259927
Neil Nitin Mukesh,81.62873715989173,5,75.79691704118365
Sanjeev Kumar,88.41221656013832,5,75.7962932713617
Ashutosh Rana,74.20202923728408,7,75.78696181777124
Alexandra Shipp,67.00819229418791,7,75.76425500222132
Michael Lewis,100.97588435145335,3,75.76124264979829
Scott Mechlowicz,80.8189361673108,4,75.75107806271278
Jesse Metcalfe,64.62986084360507,10,75.74673098765145
Oriol Paulo,84.22428337147109,4,75.7452551773136
Travis Fimmel,83.56424709824236,5,75.73411440166707
John Dall,93.66646983794642,4,75.72492135906144
Tom Gries,60.032756292656856,7,75.71762997964669
David Shaber,86.49546069199806,5,75.71337868694766
Steven Bauer,58.08206400733151,15,75.69129003441364
Peter Spierig,92.78835624994592,4,75.68691895550518
Michael Spierig,92.78835624994592,4,75.68691895550518
Melinda Dillon,93.9956841395109,4,75.68611106604018
Verna Bloom,84.56719867960264,4,75.6850557891463
George Lopez,85.00386918277653,6,75.66481679955365
Jason London,92.00751755788451,7,75.65658562614223
Edward Arnold,72.5557758253402,7,75.65656759386738
Paul Henreid,76.95365212200299,6,75.63918882970036
William Atherton,90.79684668421814,5,75.63242512265955
Mark L. Smith,75.85197020050788,5,75.61489902619176
Don Bluth,79.65995509264835,5,75.61340340783404
Peter Laird,76.65037697330713,5,75.60437111041114
John Magaro,69.56670196183595,6,75.59817168121216
Dennis Paoli,79.56640803869043,5,75.58728250944648
Omari Hardwick,82.8579677089489,6,75.57982300380915
Anandhi,84.21899281063068,4,75.57972663035082
Jessica Lucas,90.1887433179605,4,75.57887419716742
Orlando Jones,71.7346918117007,7,75.57841828461281
Burgess Meredith,65.38747726457356,6,75.5775835291712
Robert Keith,65.82633920830904,6,75.56045955129589
Yvonne De Carlo,67.04042936858784,12,75.5558750570712
Jim Brown,53.4702137232651,13,75.54823033671616
Joe Cole,68.29409656539674,6,75.52763957525204
Miles Millar,75.49247406271533,5,75.52166692935329
Grégory Levasseur,77.07874378260736,5,75.50980320139014
Gurinder Chadha,80.6271459849398,5,75.50428328941338
Thomas Bidegain,69.77069170573778,6,75.49963721262363
Sidney Gilliat,63.02722961648016,8,75.49194162013443
Bella Thorne,68.25550039088407,9,75.46944867841029
Bernie Mac,84.2812593556185,5,75.45383525576115
Billy Green Bush,77.83818161803508,5,75.44903337051223
François Cluzet,115.90926308256813,3,75.44082913944925
Takashi Shimizu,70.07765461349302,6,75.4405355629585
Bernard Lee,86.49864542075557,5,75.43178096904488
Peter Tolan,79.98589444250963,5,75.42135886924338
Nadine Velazquez,93.16863856864731,4,75.41826033945497
Lolita Davidovich,58.08206400733151,8,75.41598236460742
Daniel Pyne,76.61435525551204,5,75.3950212139467
Bipasha Basu,57.51261669042621,10,75.39134303792167
Billy Boyd,90.99651986510993,5,75.38142225563121
Phil Lord,110.17730056266164,3,75.35277703956251
Thomas Narcejac,89.76535464590997,4,75.34710272040586
Derek Connolly,84.39015851546034,4,75.31750285142923
Millie Bobby Brown,79.25030326492181,4,75.29622961325313
Rob Corddry,77.19069999027147,5,75.2805684866533
Frank Fenton,84.14938553301089,5,75.28021732899214
Parineeti Chopra,73.28580788876735,6,75.2737903434985
Ruth Prawer Jhabvala,87.45219890305319,4,75.26679378415125
Jay Chandrasekhar,80.86502324686457,5,75.2542576000048
Jon Erwin,70.66651120892,6,75.24803438803335
Julie Bowen,86.14142586349924,5,75.24706868170969
Gaspar Noé,81.19586254643394,5,75.23589726129146
Howard Da Silva,69.6087577896736,6,75.23402821592131
Dustin Lance Black,90.41437316846692,4,75.22124467940975
Jordana Brewster,76.12654610415007,5,75.2189068359096
Anna Chlumsky,77.89949520422653,5,75.2132341411735
Katrina Bowden,90.62928758666975,5,75.20634087582091
Pierre Niney,72.60258000916438,6,75.20501448878278
Paul De Meo,71.18024255430848,6,75.20328932460848
Lisa Cholodenko,82.42702810606404,5,75.18985596604993
Ameesha Patel,67.00068397281966,7,75.1641802828845
Chris Sivertson,54.99338752787249,12,75.15790469960672
Geoffrey Lewis,64.28263051341473,6,75.12828791821077
Matthew Chapman,64.37266909148482,7,75.11485363687098
Ann Sothern,70.76406001787171,7,75.11223967533282
Shannon Elizabeth,79.62332651334181,6,75.1120265408327
Erika Christensen,67.99182457991508,7,75.10587035763723
Adewale Akinnuoye-Agbaje,76.99074253902148,6,75.10434579229309
Arun Vijay,72.71637051684112,5,75.10023672842362
Maura Tierney,87.13366268356789,4,75.09817740400638
Sathyaraj,65.38043595327846,7,75.0752767604082
Melissa Benoist,115.7138521776582,3,75.0636974713437
Mitch Glazer,78.01470708714004,5,75.02154147701603
Isaach De Bankolé,72.6178255871766,5,75.0206570194101
Robert Hays,95.22852410707247,4,75.00196051392926
Brendan Fletcher,61.099600695023334,9,74.99626191414663
Kalki Koechlin,81.69976561939154,5,74.99009164597977
Janel Parrish,80.86502324686457,6,74.97082268159791
Kerwin Mathews,67.25620291875008,9,74.96876273279034
Deva Katta,66.1714679325889,6,74.96136007599283
Will Geer,77.80118386336397,6,74.94290566286202
Charles Edward Pogue,91.88049510248408,4,74.93276875199581
Frank S. Nugent,74.03136153509149,5,74.91393241170441
Charles Napier,78.16736909409279,9,74.89847050681686
George Worthing Yates,71.99134367285126,8,74.8941049815247
Roger Spottiswoode,79.10789554126565,5,74.8930318783667
Akim Tamiroff,63.38376569822481,7,74.8861462415377
Griffin Dunne,84.56719867960264,5,74.8742880354917
Joanna Cassidy,93.90937178451038,4,74.85886533543143
Marty Feldman,95.6608902898534,4,74.85268040641165
Dean DeBlois,109.2896280380796,3,74.8506510210167
Dyan Cannon,66.30893245510572,7,74.83848329340664
D. Suresh,83.18929544130347,5,74.8361576388216
Tim Metcalfe,73.00815348116096,6,74.81959467222862
Amber Valletta,76.96094475121505,5,74.80503874313332
Fares Fares,71.6345456090422,5,74.80119208028093
Miley Cyrus,83.23522369128304,5,74.79756585790577
Nunnally Johnson,58.88282873030888,8,74.7970768919114
Pravin Tarde,70.68839287374136,6,74.79367514071266
David Koechner,69.3434126675888,8,74.75047522322765
James Glickenhaus,49.193974697322474,13,74.74672378028605
David Levien,87.92370551070873,4,74.73124461388142
Andrew Dominik,90.75534097404261,4,74.71221894350101
Alia Shawkat,81.92482077205214,5,74.68997198538737
Jeff Pinkner,86.43372805362719,4,74.68668996320366
Steven Yeun,85.61466896548637,4,74.67143989957533
Brian G. Hutton,83.35830700041703,4,74.63566026454285
Vincente Minnelli,75.12563378590775,5,74.63406105138391
Amanda Donohoe,87.13366268356789,5,74.63275182246058
Rebecca Miller,71.78659905064146,6,74.62558157990522
Tim Matheson,65.85222954325596,7,74.62507932424579
George Armitage,58.12804480298431,10,74.57360586184285
J Blakeson,74.135676405066,5,74.55995763227853
Mahesh Bhatt,60.23786617210791,10,74.5535632612882
Karen Moncrieff,63.46431616855669,6,74.54833585992483
Ruby Dee,91.03071878700484,4,74.51041323628775
Erik Balling,59.26083732296733,8,74.494571011495
Izabella Scorupco,89.63293553381206,4,74.4925277591656
Satish Kaushik,79.2385446513584,6,74.49252215196827
Tarsem Singh,90.6847823721624,4,74.4871753676973
Shana Feste,61.7282003323333,6,74.48641510468546
Gerald Drayson Adams,58.88282873030888,9,74.45836803132137
